population,n,median_mvar,p90_mvar,p95_mvar,p99_mvar,max_mvar,n_le_5,fraction_le_5,n_le_10,fraction_le_10,n_le_20,fraction_le_20,n_gt_10,n_gt_20,source,tso_period_s
all_12_design_windows,4320,0.23604057253515884,1.5741429000406064,2.2832827043473483,3.8568839027204547,23.525599021126208,4303,0.9960648148148148,4310,0.9976851851851852,4311,0.9979166666666667,10,9,results/ch9_ts_period_sweep/final_weights/20260821-092509/intervals.csv,180
experiment_B_10_admissible_windows,3600,0.25271859972518573,1.4684369775276822,2.1534970621697522,3.732760613757339,22.632166869306086,3592,0.9977777777777778,3597,0.9991666666666666,3598,0.9994444444444445,3,2,results/ch9_ts_period_sweep/final_weights/20260821-092509/intervals.csv,180
