scope,relief_factor,n,n_censored,censoring_fraction,n_converged,median_converged,p80_converged,p90_converged,p95_converged,max_converged,n_le_9_all,fraction_le_9_all,fraction_le_9_converged,tap_moves_total,voltage_violations,v_min_min_pu,v_max_max_pu,delivery_error_abs_max_mvar
DSO_4,20,30,12,0.4,18,2.0,3.200000000000003,10.000000000000014,25.04999999999999,31,16,0.5333333333333333,0.8888888888888888,0,0,1.013443265914569,1.0589477066899742,0.0
DSO_4,10,30,7,0.23333333333333334,23,2.0,16.800000000000004,25.6,29.599999999999994,44,16,0.5333333333333333,0.6956521739130435,0,0,1.013479014795657,1.0614851097663054,0.0
combined_120,20,120,12,0.1,108,4.0,6.0,9.0,13.299999999999983,31,98,0.8166666666666667,0.9074074074074074,0,0,1.010469473242409,1.0589477066899742,0.0
combined_120,10,120,7,0.058333333333333334,113,4.0,6.0,12.0,16.199999999999974,44,98,0.8166666666666667,0.8672566371681416,0,0,1.010469473242409,1.0614851097663054,0.0
