dso,direction,n_steps,n_capability_limited,n_free,free_n_inner_median,free_n_inner_p95,free_censoring_fraction,free_uncensored_median,free_uncensored_p95,headroom_end_median_mvar,n_inner_median,n_inner_p95,n_inner_max,censoring_fraction,step_median_mvar,band_width_median_mvar,residual_median_mvar,tap_moves_total,v_violations
DSO_4,down,15,0,15,11.0,30.899999999999984,0.0,11.0,30.899999999999984,38.78555309165071,11.0,30.899999999999984,40.0,0.0,10.0,107.94975146797466,0.06553440378001696,0,0
DSO_4,up,15,0,15,11.0,39.69999999999999,0.06666666666666667,11.0,23.349999999999994,35.77612629175687,11.0,39.69999999999999,46.0,0.06666666666666667,10.0,85.51648379223732,0.06746892201402943,0,0
__pooled__,both,30,0,30,11.0,38.64999999999999,0.03333333333333333,11.0,32.99999999999998,37.449665919678026,11.0,38.64999999999999,46.0,0.03333333333333333,10.0,96.73855434359591,0.0665016628970232,0,0
