dso,direction,n_steps,n_capability_limited,n_free,free_n_inner_median,free_n_inner_p95,free_censoring_fraction,free_uncensored_median,free_uncensored_p95,headroom_end_median_mvar,n_inner_median,n_inner_p95,n_inner_max,censoring_fraction,step_median_mvar,band_width_median_mvar,residual_median_mvar,tap_moves_total,v_violations
DSO_1,down,15,0,15,2.0,6.0,0.0,2.0,6.0,38.26813058172544,2.0,6.0,6.0,0.0,10.0,102.52382365045978,0.09863537068633921,0,0
DSO_1,up,15,0,15,4.0,6.0,0.0,4.0,6.0,40.907585725012694,4.0,6.0,6.0,0.0,10.0,102.77253542816464,0.030870756785372322,0,0
DSO_2,down,15,0,15,4.0,14.0,0.0,4.0,14.0,40.312106625382384,4.0,14.0,14.0,0.0,10.0,102.13611885203923,0.0826018763377796,0,0
DSO_2,up,15,0,15,4.0,17.099999999999994,0.0,4.0,17.099999999999994,35.59164682523072,4.0,17.099999999999994,22.0,0.0,10.0,92.1686843045355,0.08627531225312524,0,0
DSO_3,down,15,0,15,2.0,4.0,0.0,2.0,4.0,46.57655064897481,2.0,4.0,4.0,0.0,10.0,114.59474982391842,0.1366288982112831,0,0
DSO_3,up,15,0,15,4.0,4.0,0.0,4.0,4.0,44.03765800527665,4.0,4.0,4.0,0.0,10.0,114.76721137800163,0.044727540252164744,0,0
DSO_4,down,15,0,15,4.0,46.0,0.4,2.0,15.999999999999993,39.34527440078455,4.0,46.0,46.0,0.4,10.0,107.94975146797465,0.5775087198241202,0,0
DSO_4,up,15,0,15,4.0,46.0,0.4,2.0,20.19999999999999,35.86290003348714,4.0,46.0,46.0,0.4,10.0,85.51648379223732,0.582401293008191,0,0
__pooled__,both,120,0,120,4.0,46.0,0.1,4.0,13.299999999999983,41.10190961842258,4.0,46.0,46.0,0.1,10.0,102.79387502393806,0.11580201883713803,0,0
