dso,direction,n_steps,n_capability_limited,n_free,free_n_inner_median,free_n_inner_p95,free_censoring_fraction,free_uncensored_median,free_uncensored_p95,headroom_end_median_mvar,n_inner_median,n_inner_p95,n_inner_max,censoring_fraction,step_median_mvar,band_width_median_mvar,residual_median_mvar,tap_moves_total,v_violations
DSO_1,down,15,0,15,2.0,6.0,0.0,2.0,6.0,38.26817919252992,2.0,6.0,6.0,0.0,10.0,102.52382365045978,0.11208115066801483,0,0
DSO_1,up,15,0,15,4.0,6.0,0.0,4.0,6.0,40.90758208578929,4.0,6.0,6.0,0.0,10.0,102.77253542816466,0.028615980670526397,0,0
DSO_2,down,15,0,15,4.0,11.299999999999999,0.0,4.0,11.299999999999999,40.322972423032205,4.0,11.299999999999999,12.0,0.0,10.0,102.13611885203923,0.04619895842179389,0,0
DSO_2,up,15,0,15,4.0,14.499999999999995,0.0,4.0,14.499999999999995,35.44978507432881,4.0,14.499999999999995,18.0,0.0,10.0,92.16868430453552,0.07126275045945096,0,0
DSO_3,down,15,0,15,2.0,4.0,0.0,2.0,4.0,46.57686662037348,2.0,4.0,4.0,0.0,10.0,114.59474982391842,0.17322813442481788,0,0
DSO_3,up,15,0,15,4.0,4.0,0.0,4.0,4.0,44.037188548513825,4.0,4.0,4.0,0.0,10.0,114.76721137800162,0.0499862782222813,0,0
DSO_4,down,15,0,15,2.0,3.0,0.0,2.0,3.0,38.71762588902636,2.0,3.0,3.0,0.0,10.0,107.94975146797465,0.0782561751808526,0,0
DSO_4,up,15,0,15,2.0,3.0,0.0,2.0,3.0,35.75523487170448,2.0,3.0,3.0,0.0,10.0,85.51648379223734,0.06000331116692603,0,0
__pooled__,both,120,0,120,2.0,10.0,0.0,2.0,10.0,41.10049559416888,2.0,10.0,18.0,0.0,10.0,102.79387502393806,0.06604705597342964,0,0
